title,body,labels
USER,"### Source Row
```json
{
  ""Unnamed: 1"": ""USER"",
  ""Unnamed: 2"": ""Account Management"",
  ""Unnamed: 3"": ""User Registration and KYC"",
  ""Unnamed: 4"": ""Digital ID verification with AI-powered document scanning""
}
```",sheet:Product
Facial recognition with liveness detection,"### Source Row
```json
{
  ""Unnamed: 4"": ""Facial recognition with liveness detection""
}
```",sheet:Product
Biometric login support,"### Source Row
```json
{
  ""Unnamed: 4"": ""Biometric login support""
}
```",sheet:Product
"Multi-language support (English, Pidgin English, Yoruba, French)","### Source Row
```json
{
  ""Unnamed: 4"": ""Multi-language support (English, Pidgin English, Yoruba, French)""
}
```",sheet:Product
"Multiple account types (Individual, Business, Joint)","### Source Row
```json
{
  ""Unnamed: 4"": ""Multiple account types (Individual, Business, Joint)""
}
```",sheet:Product
Document upload and verification,"### Source Row
```json
{
  ""Unnamed: 4"": ""Document upload and verification""
}
```",sheet:Product
Address verification system,"### Source Row
```json
{
  ""Unnamed: 4"": ""Address verification system""
}
```",sheet:Product
Social security/NIN verification,"### Source Row
```json
{
  ""Unnamed: 4"": ""Social security/NIN verification""
}
```",sheet:Product
Profile Management,"### Source Row
```json
{
  ""Unnamed: 3"": ""Profile Management"",
  ""Unnamed: 4"": ""Personal information management""
}
```",sheet:Product
Transaction history viewing,"### Source Row
```json
{
  ""Unnamed: 4"": ""Transaction history viewing""
}
```",sheet:Product
Document storage and management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Document storage and management""
}
```",sheet:Product
Biometric authentication setup,"### Source Row
```json
{
  ""Unnamed: 4"": ""Biometric authentication setup""
}
```",sheet:Product
Communication preferences,"### Source Row
```json
{
  ""Unnamed: 4"": ""Communication preferences""
}
```",sheet:Product
Security settings configuration,"### Source Row
```json
{
  ""Unnamed: 4"": ""Security settings configuration""
}
```",sheet:Product
Language preferences,"### Source Row
```json
{
  ""Unnamed: 4"": ""Language preferences""
}
```",sheet:Product
Notification management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Notification management""
}
```",sheet:Product
Wallet & Payments,"### Source Row
```json
{
  ""Unnamed: 2"": ""Wallet & Payments"",
  ""Unnamed: 3"": ""Digital Wallet"",
  ""Unnamed: 4"": ""Multi-currency wallet support""
}
```",sheet:Product
Real-time balance viewing,"### Source Row
```json
{
  ""Unnamed: 4"": ""Real-time balance viewing""
}
```",sheet:Product
Transaction history,"### Source Row
```json
{
  ""Unnamed: 4"": ""Transaction history""
}
```",sheet:Product
Virtual card creation,"### Source Row
```json
{
  ""Unnamed: 4"": ""Virtual card creation""
}
```",sheet:Product
Statement generation,"### Source Row
```json
{
  ""Unnamed: 4"": ""Statement generation""
}
```",sheet:Product
Payment Methods,"### Source Row
```json
{
  ""Unnamed: 3"": ""Payment Methods"",
  ""Unnamed: 4"": ""Bank account linking""
}
```",sheet:Product
Card management (virtual/physical),"### Source Row
```json
{
  ""Unnamed: 4"": ""Card management (virtual/physical)""
}
```",sheet:Product
Recurring payment setup,"### Source Row
```json
{
  ""Unnamed: 4"": ""Recurring payment setup""
}
```",sheet:Product
Quick payment shortcuts,"### Source Row
```json
{
  ""Unnamed: 4"": ""Quick payment shortcuts""
}
```",sheet:Product
Favorite beneficiaries,"### Source Row
```json
{
  ""Unnamed: 4"": ""Favorite beneficiaries""
}
```",sheet:Product
Payment limits management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Payment limits management""
}
```",sheet:Product
Money Transfer Services,"### Source Row
```json
{
  ""Unnamed: 3"": ""Money Transfer Services"",
  ""Unnamed: 4"": ""Domestic transfers""
}
```",sheet:Product
International remittances,"### Source Row
```json
{
  ""Unnamed: 4"": ""International remittances""
}
```",sheet:Product
Bulk transfers,"### Source Row
```json
{
  ""Unnamed: 4"": ""Bulk transfers""
}
```",sheet:Product
Schedule future transfers,"### Source Row
```json
{
  ""Unnamed: 4"": ""Schedule future transfers""
}
```",sheet:Product
Regular payment setup,"### Source Row
```json
{
  ""Unnamed: 4"": ""Regular payment setup""
}
```",sheet:Product
Security & Control,"### Source Row
```json
{
  ""Unnamed: 2"": ""Security & Control"",
  ""Unnamed: 3"": ""Account Security"",
  ""Unnamed: 4"": ""Two-factor authentication""
}
```",sheet:Product
Biometric login,"### Source Row
```json
{
  ""Unnamed: 4"": ""Biometric login""
}
```",sheet:Product
Device management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Device management""
}
```",sheet:Product
Login activity monitoring,"### Source Row
```json
{
  ""Unnamed: 4"": ""Login activity monitoring""
}
```",sheet:Product
Security Questions,"### Source Row
```json
{
  ""Unnamed: 4"": ""Security Questions""
}
```",sheet:Product
PIN management,"### Source Row
```json
{
  ""Unnamed: 4"": ""PIN management""
}
```",sheet:Product
Transaction limits,"### Source Row
```json
{
  ""Unnamed: 4"": ""Transaction limits""
}
```",sheet:Product
Geo-location restrictions,"### Source Row
```json
{
  ""Unnamed: 4"": ""Geo-location restrictions""
}
```",sheet:Product
Transaction Security,"### Source Row
```json
{
  ""Unnamed: 3"": ""Transaction Security"",
  ""Unnamed: 4"": ""Transaction notifications""
}
```",sheet:Product
